"Obs","HHMMSS","FTime","EBal.","Photo","Cond","Ci","Trmmol","VpdL","CTleaf","Area","BLC_1","StmRat","BLCond","Tair","Tleaf","TBlk","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","PARi","PARo","Press","CsMch","HsMch","CsMchSD","HsMchSD","CrMchSD","HrMchSD","StableF","BLCslope","BLCoffst","f_parin","f_parout","alphaK","Status","Filename","Timestamp","Comments","Subplot","Veg_plot","In_out","Species","final_ID","Canopy_status","Maximum_DBH_estimate_when_tagged_cm","girdled.","Year","IRGA_covered_area","Asat_multiplier"
4,"13:04:19",356.5,0,0.317,0.0227,366,0.427,1.83,26.75,6,1.42,1,2.84,25.71,26.75,25.03,400.28,399.7,16.675,17.178,49.73,51.23,500.2,1999,0,98.91,-1.07,-0.2,0.0748,0.0112,0.0562,0.0107,1,-0.22,2.74,1,0,0.16,111115,"0100_20210709",2021-07-09 12:59:01,"12:59:02 ; ","D04W","SW","o","pist",100,"sap",2,"n",2021,1.284,4.672897196
5,"13:04:19",357.5,0,0.318,0.0227,365,0.427,1.82,26.73,6,1.42,1,2.84,25.71,26.73,25.03,400.24,399.66,16.677,17.18,49.73,51.23,500.2,1999,0,98.91,-1.07,-0.2,0.0748,0.0112,0.0562,0.0107,0.7,-0.22,2.74,1,0,0.16,111115,"0100_20210709",2021-07-09 12:59:01,"12:59:02 ; ","D04W","SW","o","pist",100,"sap",2,"n",2021,1.284,4.672897196
1,"13:17:13",249,0,2.07,0.0201,224,0.415,2,27.53,6,1.42,1,2.84,25.87,27.53,25.04,402.58,399.9,16.574,17.064,48.96,50.41,500.2,2000,1728,98.9,-3.44,-0.313,0.147,0.00121,0.134,0.00223,1,-0.22,2.74,1,0,0.16,111115,"0101_20210709",2021-07-09 13:13:34,"13:13:36 ; ","D04W","SW","i","pist",101,"sap",4,"n",2021,1.25,4.8
2,"13:17:13",249.5,0,2.1,0.0201,221,0.416,2,27.53,6,1.42,1,2.84,25.87,27.53,25.04,402.65,399.93,16.573,17.064,48.96,50.41,500.2,2000,1727,98.9,-3.44,-0.313,0.147,0.00121,0.134,0.00223,1,-0.22,2.74,1,0,0.16,111115,"0101_20210709",2021-07-09 13:13:34,"13:13:36 ; ","D04W","SW","i","pist",101,"sap",4,"n",2021,1.25,4.8
3,"13:17:14",250.5,0,2.27,0.0201,208,0.415,2,27.52,6,1.42,1,2.84,25.87,27.52,25.04,402.96,400.04,16.571,17.061,48.95,50.4,500.1,2000,1726,98.9,-3.44,-0.313,0.147,0.00121,0.134,0.00223,1,-0.22,2.74,1,0,0.16,111115,"0101_20210709",2021-07-09 13:13:34,"13:13:36 ; ","D04W","SW","i","pist",101,"sap",4,"n",2021,1.25,4.8
4,"13:17:15",251,0,2.35,0.0202,202,0.417,2,27.52,6,1.42,1,2.84,25.87,27.52,25.04,403.12,400.1,16.569,17.061,48.95,50.4,500.1,2000,1726,98.9,-3.44,-0.313,0.147,0.00121,0.134,0.00223,0.7,-0.22,2.74,1,0,0.16,111115,"0101_20210709",2021-07-09 13:13:34,"13:13:36 ; ","D04W","SW","i","pist",101,"sap",4,"n",2021,1.25,4.8
5,"13:17:16",252,0,2.31,0.0201,206,0.416,2,27.52,6,1.42,1,2.84,25.87,27.52,25.04,403.2,400.24,16.568,17.059,48.94,50.39,500.2,2000,1714,98.9,-3.44,-0.313,0.147,0.00121,0.134,0.00223,0.7,-0.22,2.74,1,0,0.16,111115,"0101_20210709",2021-07-09 13:13:34,"13:13:36 ; ","D04W","SW","i","pist",101,"sap",4,"n",2021,1.25,4.8
1,"10:18:07",221.5,0,12.3,0.179,275,2.91,1.67,24.76,6,1.42,1,2.84,24.83,24.76,25.06,416.44,400.34,11.344,14.779,35.64,46.43,500.3,2001,197,98.91,0.705,-0.195,0.095,0.000694,0.0891,0.00144,0.7,-0.22,2.74,1,0,0.16,111115,"0149_20210709",2021-07-09 10:16:16,"10:16:18 ; ","D04E","NE","o","acru",149,NA,NA,"n",2021,6,1
2,"10:18:08",222.5,0,12.2,0.178,276,2.9,1.67,24.75,6,1.42,1,2.84,24.83,24.75,25.06,416.34,400.35,11.344,14.774,35.64,46.42,500.3,2001,202,98.91,0.705,-0.195,0.095,0.000694,0.0891,0.00144,0.7,-0.22,2.74,1,0,0.16,111115,"0149_20210709",2021-07-09 10:16:16,"10:16:18 ; ","D04E","NE","o","acru",149,NA,NA,"n",2021,6,1
3,"10:18:08",223,0,12.1,0.178,276,2.9,1.67,24.75,6,1.42,1,2.84,24.83,24.75,25.06,416.31,400.36,11.346,14.773,35.64,46.41,500.3,2001,205,98.91,0.705,-0.195,0.095,0.000694,0.0891,0.00144,0.7,-0.22,2.74,1,0,0.16,111115,"0149_20210709",2021-07-09 10:16:16,"10:16:18 ; ","D04E","NE","o","acru",149,NA,NA,"n",2021,6,1
