final_ID,leaf_sample,Subplot,Species,leaf_area_cm2,leaf_mass_g,LMA_gm2,Year
4089,1,B02E,fagr,59.27,0.1735,29.2728193,2018
4090,1,B02E,fagr,55.64,0.1984,35.65780014,2018
4091,1,B02E,fagr,42.09,0.1188,28.22523165,2018
4092,1,B02E,fagr,46.51,0.1229,26.42442485,2018
1949,1,B02E,fagr,55.57,0.152,27.35288825,2018
4093,1,B02E,fagr,84.71,0.1903,22.46488018,2018
2061,1,B03W,acpe,50.5,0.1842,36.47524752,2018
3278,1,B03W,acru,36.84,0.1383,37.54071661,2018
1968,1,B03W,fagr,65.33,0.1675,25.63906322,2018
3272,1,B03W,fagr,64.13,0.145,22.61032278,2018
3273,1,B03W,fagr,75.46,0.2071,27.44500398,2018
2003,1,B03W,fagr,55.33,0.1566,28.30290981,2018
3276,1,B03W,fagr,57.69,0.14,24.26763737,2018
3277,1,B03W,fagr,78.93,0.1964,24.88280755,2018
3279,1,B03W,fagr,80.89,0.2481,30.67128199,2018
3280,1,B03W,fagr,49.06,0.2045,41.68365267,2018
2062,1,B03W,fagr,80.68,0.2104,26.07833416,2018
2060,1,B03W,fagr,103.63,0.2978,28.73685226,2018
3261,1,B03E,acpe,202.32,0.8629,42.65025702,2018
2130,1,B03E,acru,62.15,0.2283,36.73370877,2018
3270,1,B03E,acru,63,0.2002,31.77777778,2018
3257,1,B03E,fagr,33.09,0.0885,26.74524025,2018
3258,1,B03E,fagr,75.37,0.2369,31.43160409,2018
3259,1,B03E,fagr,59.26,0.154,25.98717516,2018
3262,1,B03E,fagr,61.36,0.1591,25.92894394,2018
3263,1,B03E,fagr,45.68,0.1403,30.71366025,2018
3265,1,B03E,fagr,50.61,0.1431,28.27504446,2018
3266,1,B03E,fagr,25.61,0.0801,31.27684498,2018
3267,1,B03E,fagr,75.9,0.1888,24.87483531,2018
3271,1,B03E,fagr,53.79,0.1381,25.67391708,2018
2263,1,B04E,acpe,71.88,0.1819,25.30606566,2018
2262,1,B04E,acpe,116.36,0.3443,29.58920591,2018
4108,1,B04E,acpe,266.06,1.3869,52.1273397,2018
4111,1,B04E,acpe,296.53,1.0687,36.04019829,2018
2334,1,B04E,acpe,128.04,0.3074,24.00812246,2018
4112,1,B04E,acru,70.9,0.2839,40.04231312,2018
2311,1,B04E,acru,73.26,0.2986,40.75894076,2018
4107,1,B04E,fagr,42.96,0.1265,29.44599628,2018
4109,1,B04E,fagr,64.04,0.2204,34.41599001,2018
4110,1,B04E,fagr,51.06,0.1578,30.90481786,2018
4113,1,B04E,fagr,52.7,0.1533,29.08918406,2018
4114,1,B04E,fagr,34.57,0.0981,28.37720567,2018
2226,1,B04W,acpe,192.79,0.5646,29.28575134,2018
2227,1,B04W,acpe,198.27,0.5506,27.77021234,2018
2228,1,B04W,acpe,85.75,0.2576,30.04081633,2018
4124,1,B04W,acru,45.9,0.1678,36.5577342,2018
4125,1,B04W,acru,69.29,0.289,41.70876028,2018
4123,1,B04W,acru,62.24,0.2328,37.40359897,2018
4120,1,B04W,acru,67.27,0.2364,35.14196521,2018
4122,1,B04W,fagr,48.14,0.1385,28.77025343,2018
2206,1,B04W,fagr,48.52,0.1105,22.77411377,2018
4126,1,B04W,fagr,39.79,0.1061,26.6649912,2018
4121,1,B04W,quru,47.94,0.173,36.08677514,2018
4127,1,B04W,quru,25.23,0.0789,31.27229489,2018
3959,1,C01E,fagr,59.43,0.1529,25.72774693,2018
775,1,C01E,fagr,93.06,0.31,33.31184182,2018
3962,1,C01E,fagr,51.49,0.1404,27.26743057,2018
3963,1,C01E,fagr,70.85,0.192,27.099506,2018
806,1,C01E,fagr,86.81,0.311,35.82536574,2018
805,1,C01E,fagr,57.48,0.1775,30.88030619,2018
3966,1,C01E,fagr,60.76,0.1918,31.56682028,2018
736,1,C01E,pist,1.33,0.0115,86.46616541,2018
737,1,C01E,pist,1.359,0.0077,56.65930831,2018
3958,1,C01E,pist,1.541,0.0119,77.22258274,2018
3960,1,C01E,pist,1.409,0.0108,76.65010646,2018
3961,1,C01E,pist,1.154,0.0114,98.78682842,2018
879,1,C01W,acru,52.71,0.2327,44.14722064,2018
3950,1,C01W,amel,24.35,0.1057,43.40862423,2018
3951,1,C01W,fagr,71.93,0.2554,35.50674267,2018
3953,1,C01W,fagr,56.97,0.1823,31.99929788,2018
3954,1,C01W,fagr,40.93,0.1112,27.16833618,2018
