Subplot,Veg_plot,In_out,Species,Filename,ID_tag_2018,ID_tag_added_2019_or_after,final_ID,Canopy_status,Maximum_DBH_estimate_when_tagged_cm,girdled?,Notes_2019,Notes_2020,Notes_2021
D03W,NE,o,acru,D03W_acru_01_07262018,NA,3187,3187,sap,4,n,,,
D03W,NE,o,acru,D03W_acru_03_07262018,NA,3188,3188,un,7,n,,,
D03W,SE,o,fagr,D03W_fagr_03_07262018,NA,3190,3190,sap,1,n,,,
D03W,SW,o,acru,D03W_acru_04_07262018,NA,3192,3192,sap,1,n,,,
D03W,SW,o,acru,D03W_acru_05_07262018,NA,3193,3193,un,8,n,,,
D03W,NW,o,acru,D03W_acru_06_07262018,NA,3196,3196,sap,2,n,,,
D03W,NW,o,acru,D03W_acru_07_07262018,NA,3197,3197,un,6,n,,,
D03W,NW,o,acru,D03W_acru_08_07262018,NA,3198,3198,un,4,n,,,
D03E,SE,o,acru,D03E_acru_01_07262018,NA,3201,3201,un,8,n,,,
D03E,SE,o,acru,D03E_acru_02_07262018,NA,3202,3202,sap,3,n,,,
D03E,SW,o,acru,D03E_acru_04_07262018,NA,3205,3205,sap,1,n,,,
D03E,SW,o,quru,D03E_quru_02_07262018,NA,3206,3206,sap,4,n,,,
D03E,NW,o,fagr,D03E_fagr_04_07262018,NA,3208,3208,sap,1,n,,,
D03E,NW,o,fagr,D03E_fagr_05_07262018,NA,3209,3209,sap,3,n,,,
D03E,NW,o,fagr,D03E_fagr_06_07262018,NA,3210,3210,sap,3,n,Shares base w/ girdled tree,,
D01E,SE,o,fagr,D01E_fagr_03_07242018,NA,3213,3213,sap,3,n,,,
D01E,SW,o,acru,D01E_acru_04_07242018,NA,3214,3214,sap,4,n,,,
D01E,NW,o,acru,D01E_acru_05_07242018,NA,3216,3216,sap,5,n,,could not be sampled in 2020 due to heavy herbivory; replaced by #3218,
D01E,NW,o,acru,D01E_acru_06_07242018,NA,3217,3217,sap,5,n,,could not be sampled in 2020 due to heavy herbivory; replaced by #4621,
D01E,NW,o,pist,NA,NA,3218,3218,sap,2,n,,replacing unsampleable #3216,
D01W,NE,o,fagr,D01W_fagr_01_07242018,NA,3220,3220,sap,1,n,,,
