height_m,subplot_id,nested_subplot,Photo#,gap_fraction,openness,year
1,C01E,0,3019,7.03,5.13,2021
1,C01E,1,3020,8.38,6.25,2021
1,C01E,3,3021,5.72,4.04,2021
1,C01E,5,3022,4.22,3.13,2021
1,C01E,7,3023,8.11,5.71,2021
0,C01E,na,3024,5.06,4.67,2021
0,C01E,0,3025,6.77,4.84,2021
0,C01E,1,3026,7.78,5.63,2021
0,C01E,3,3027,4.43,3.25,2021
0,C01E,5,3028,3.52,2.54,2021
0,C01E,7,3029,5.36,3.61,2021
1,C02W,na,3030,8.09,7.06,2021
1,C02W,0,3031,10.37,6.83,2021
1,C02W,1,3032,8.08,5.53,2021
1,C02W,3,3033,6.45,5.29,2021
1,C02W,5,3034,10.77,7.56,2021
1,C02W,7,3035,3.24,2.61,2021
0,C02W,na,3036,5.15,4.58,2021
0,C02W,0,3037,6.94,4.86,2021
0,C02W,1,3038,7.68,5.33,2021
0,C02W,3,3039,6.61,5.26,2021
0,C02W,5,3040,10.67,7.46,2021
0,C02W,7,3041,4.07,3.17,2021
1,C02E,na,3043,6.65,6.74,2021
1,C02E,0,3044,7.79,5.99,2021
1,C02E,1,3045,9.62,6.72,2021
1,C02E,3,3046,5.1,3.32,2021
1,C02E,5,3047,10.59,7.16,2021
1,C02E,7,3048,4.78,3.2,2021
0,C02E,na,3049,11.11,8.85,2021
0,C02E,0,3050,7.58,5.4,2021
0,C02E,1,3052,7.3,5.12,2021
0,C02E,3,3053,4.79,3.14,2021
0,C02E,5,3054,7.74,5.08,2021
0,C02E,7,3055,5.58,3.76,2021
1,C03W,na,3056,7.62,6.7,2021
1,C03W,0,3057,6.81,5.39,2021
1,C03W,1,3058,17.01,11.63,2021
1,C03W,3,3059,4.53,3.48,2021
1,C03W,5,3060,7.06,5.31,2021
1,C03W,7,3061,3.59,2.85,2021
0,C03W,na,3062,5.88,5.23,2021
0,C03W,0,3063,8.03,5.91,2021
0,C03W,1,3064,12.49,8.26,2021
0,C03W,3,3065,4.58,3.37,2021
0,C03W,5,3066,7.08,5.18,2021
0,C03W,7,3067,3.17,2.52,2021
1,C03E,na,3068,12.33,10.59,2021
1,C03E,0,3069,14.09,10.03,2021
1,C03E,1,3070,16.25,11.63,2021
1,C03E,3,3071,19.9,13.82,2021
1,C03E,5,3072,7.84,5.43,2021
1,C03E,7,3073,11.54,7.61,2021
0,C03E,na,3074,10.66,8.48,2021
0,C03E,0,3075,12.53,8.85,2021
0,C03E,1,3076,15.37,10.89,2021
0,C03E,3,3077,10.89,7.17,2021
0,C03E,5,3078,9.84,7.17,2021
0,C03E,7,3079,3.67,2.77,2021
1,C04W,na,3080,8.16,7.2,2021
1,C04W,0,3081,7.31,5.57,2021
1,C04W,1,3082,7.12,5.48,2021
1,C04W,3,3083,6.39,5.1,2021
1,C04W,5,3084,5.91,4.16,2021
1,C04W,7,3085,3.51,2.81,2021
0,C04W,na,3086,7.49,6.81,2021
0,C04W,0,3087,6.78,4.79,2021
