plot,Subplot,mean.height.mean,height.2,mean.height.median,mean.height.var,mean.height.rms,transect.length,can.max.ht,moch,can.max.ht.median,vai.mean,vai.sd,vai.median,vai.column.max,vai.max.ht.mean,vai.max.ht.sd,vai.max.ht.median,vai.max,vai.mean.peak,vai.peak.sd,vai.peak.median,deep.gaps,deep.gap.fraction,porosity,std.std,mean.std,rugosity,top.rugosity,mean.return.ht,sd.return.ht,median.return.ht,sky.fraction,canopy.cover,max.ht,scan.density,rumple,gap.variables,enl,fhd,entropy,gini,mean.intensity,median.intensity,sd.intensity,max.intensity,min.intensity,skew.intensity,kurtosis.intensity,p10,p25,p50,p75,p90
forte2021_C03E_NS.CSV,C03E,8.8766922,4.260325745,8.069874131,18.15037545,9.823048431,40,24.178,18.01145,19.791,4.444637743,2.945428721,4.797496137,8,7.375,6.10878938,3.5,6.487422322,2.276986312,1.918217012,1.629186436,0,0,0.639,801.7811142,23.63944989,15.58709477,4.981902046,6.213911756,5.668639644,3.089,25.86181372,74.13818628,24.178,2364.325,5.05,0.857021391,18.08255862,2.51082044,7.998075718,1.316662673,57.89705319,59,19.86190171,836,5,0.791035488,36.17662718,1.606,2.007,3.089,10.45425,15.449
forte2021_C03W_EW.CSV,C03W,7.559331443,4.203432443,6.63048427,17.66884431,8.623839926,40,25.232,12.3603,10.6635,6.343802693,2.507159831,8,8,7.1,4.499572629,6,7.275442045,3.396047433,1.890276363,3.642191043,0,0,0.759615385,278.560625,10.15177755,13.2477182,7.870534349,5.543317347,4.877195748,3.256,9.819420784,90.18057922,25.232,2201.375,7.3,0.901163558,17.68534239,2.597630457,8.385444727,1.322694206,70.63275218,72,14.73132948,122,0.421,-0.592886107,4.246077478,1.816,2.335,3.256,7.3,12.4172
forte2021_C03W_NS.CSV,C03W,6.795558437,3.631843175,6.548475138,13.19028485,7.683758338,40,23.412,13.538175,14.369,5.402351386,2.725452443,5.950875818,8,5.525,3.700225218,4,7.511822247,3.110470749,2.122613968,2.952301618,1,0.025,0.682291667,342.6490216,11.37794843,14.60107226,8.240387158,5.303602053,4.087490255,3.807,19.59245575,80.40754425,23.412,2456.3,7.825,0.922975141,19.25584765,2.492457813,7.859339386,1.412414647,68.2527026,68,21.84676964,4459,5,102.5964076,20654.76135,1.8602,2.417,3.807,6.895,10.474
forte2021_C04E_EW.CSV,C04E,8.060090377,3.707141281,6.699392484,13.74289648,8.852365839,40,22.148,14.6216,15.214,4.728060318,2.838224483,4.63437322,8,6.925,4.310913402,6,7.42791271,2.379129822,1.746234533,2.282205201,0,0,0.67173913,198.0127304,9.775110042,10.12225045,5.281106492,5.798440542,3.983644095,4.49,20.10455466,79.89544534,22.148,1913,4.975,0.94921111,19.45477816,2.603167888,8.063956034,1.60327884,65.15993784,67,16.26441291,729,5,0.308773527,49.11507036,2.006,2.853,4.49,7.943,11.7044
forte2021_C04E_NS.CSV,C04E,7.287265773,4.027615647,5.962636285,16.2216878,8.301830403,40,19.397,9.77075,8.647,6.613342053,2.523509032,8,8,7.3,4.894790533,5,7.443449065,3.671123134,1.988146729,4.056477972,0,0,0.72625,82.43134787,5.272602202,7.391279584,5.3083708,4.821552748,3.385575585,4.328,7.88488913,92.11511087,19.52,1703.7,3.85,0.90007376,14.27835665,2.436700379,7.240507952,1.415859644,72.05461203,73,15.3173718,129,3,-0.658140569,4.211404114,1.558,2.159,4.328,5.71,9.4212
forte2021_C04W_EW.CSV,C04W,11.90373105,4.335637798,12.18834042,18.79775512,12.65016301,40,44.268,17.820125,19.706,7.420665297,1.097502364,8,8,11.775,5.976395878,13,7.230755322,3.342120565,1.130857705,3.221668088,0,0,0.807777778,632.8474704,17.8999943,17.67590661,6.416958938,8.265391229,5.03087043,6.8465,1.178445637,98.82155436,44.268,1519.075,6.15,0.839425904,19.92609854,2.924896669,11.0861249,1.482122476,76.03397905,78,17.36651531,125,7,-0.747754419,3.908453357,2.113,4.59,6.846,12.775,15.598
forte2021_C04W_NS.CSV,C04W,12.35364126,4.772834151,13.25882156,22.77994583,13.22206109,40,21.805,18.639075,19.6835,6.599062231,1.707701508,7.496503615,8,12.65,6.623772262,15,8,3.047391681,1.642054287,2.755431567,0,0,0.569565217,638.9990852,20.42023983,14.90009699,4.035232414,8.956648157,6.214192364,6.965,3.871656731,96.12834327,21.805,1568.575,3.35,0.903176709,19.05419198,2.844238269,8.766338552,1.851926436,70.58180371,71,21.18774494,128,4,-0.367618068,2.651555471,2.011,3.502,6.965,15.43675,17.51
forte2021_D01E_EW.CSV,D01E,10.25591717,3.032056151,10.37004482,9.193364501,10.68397713,40,19.213,14.681725,15.372,7.003705653,1.716294691,8,8,11.125,4.78880907,12.5,6.546304664,3.112411046,1.349293731,2.840390912,0,0,0.55375,206.4878367,11.84844342,8.130327496,3.173967153,6.928826949,3.866790364,5.896,3.304601735,96.69539826,19.213,2671.275,4.05,0.896364675,16.26247289,2.764679244,8.171250401,1.83714698,72.67093177,75,15.95384848,124,6,-0.786343351,3.9707431,2.502,4.296,5.896,9.238,13.23
forte2021_D01E_NS.CSV,D01E,9.579556343,2.9864118,9.340478986,8.918655438,10.02315264,40,19.071,13.7944,14.2125,5.282387664,2.45384864,5.447792815,8,9.025,4.275676585,9.5,7.27305357,2.625140802,1.635167469,2.305354654,0,0,0.61125,223.809581,10.83109431,10.31973726,3.101147925,7.608086081,4.346508544,6.795,12.47550057,87.52449943,19.071,2895.475,2.85,0.930389013,16.66167097,2.766096346,8.154919102,1.848462318,69.16833916,73,17.60908172,122,5,-0.843796582,3.504892354,2.003,3.444,6.795,11.26,13.661
forte2021_D01W_EW.CSV,D01W,9.320350948,3.704207146,9.273513546,13.72115058,10.01234556,40,19.958,15.1033,15.801,6.643624897,1.852803736,7.960490979,8,9.175,5.60168244,9,5.951894152,2.92252533,1.273209613,2.878839648,0,0,0.557142857,342.532642,14.36081235,11.6747467,3.272792607,6.102912315,4.106205634,4.779,4.430114731,95.56988527,19.958,2686.725,3.55,0.887259296,16.9963154,2.820408645,8.443260116,1.956209696,67.4469067,70,18.01404419,123,4,-0.557557159,3.127867062,2.052,2.877,4.779,8.432,11.638
forte2021_D01W_NS.CSV,D01W,8.770666174,4.51722538,9.964289904,20.40532514,9.839704119,40,20.063,13.144725,14.81,5.180613544,2.664298518,5.827877182,8,8.45,5.674730311,7.5,7.351225125,2.308509785,1.501238019,1.887410025,2,0.05,0.675,253.2721122,11.20584539,11.30049296,5.882557241,7.174992425,5.067998698,4.545,16.53795782,83.46204218,20.063,2767.875,3.1,0.921654571,16.63965171,2.708425522,8.12223588,1.666532424,68.0500514,71,18.38714765,123,5,-0.56476435,3.000513036,2.254,3.07,4.545,12.012,15.397
